period,accounts,category,amount,month,running_total
20-03-2025,Upi,Transport,300,2025-03,161601.14
20-03-2025,Cash,Food,72,2025-03,161601.14
19-03-2025,Upi,Food,65,2025-03,161229.14
19-03-2025,Upi,Recharge,470.82,2025-03,161229.14
19-03-2025,Upi,Food,20,2025-03,161229.14
19-03-2025,Upi,Food,50,2025-03,161229.14
18-03-2025,Upi,Food,20,2025-03,160623.32
18-03-2025,Upi,Transport,50,2025-03,160623.32
18-03-2025,Upi,Food,360,2025-03,160623.32
17-03-2025,Upi,Food,25,2025-03,160193.32
16-03-2025,Upi,Recharge,249,2025-03,160168.32
15-03-2025,Upi,Food,247,2025-03,159919.32
15-03-2025,Upi,Transport,300,2025-03,159919.32
13-03-2025,Cash,Food,20,2025-03,159372.32
13-03-2025,Upi,Other,100,2025-03,159372.32
12-03-2025,Upi,Gift,269,2025-03,159252.32
12-03-2025,Upi,Food,25,2025-03,159252.32
12-03-2025,Upi,Beauty,237,2025-03,159252.32
12-03-2025,Upi,Transport,300,2025-03,159252.32
12-03-2025,Upi,Gift,158,2025-03,159252.32
11-03-2025,Upi,Beauty,260,2025-03,158263.32
11-03-2025,Upi,Food,78,2025-03,158263.32
10-03-2025,Upi,Food,11,2025-03,157925.32
09-03-2025,Upi,Social Life,220,2025-03,157914.32
07-03-2025,Upi,Transport,300,2025-03,157694.32
06-03-2025,Upi,Food,13,2025-03,157394.32
05-03-2025,Upi,Beauty,469,2025-03,157381.32
05-03-2025,Upi,Food,30,2025-03,157381.32
05-03-2025,Upi,Food,50,2025-03,157381.32
04-03-2025,Upi,Food,30,2025-03,156832.32
04-03-2025,Upi,Food,215,2025-03,156832.32
03-03-2025,Upi,Rent,11596,2025-03,156587.32
03-03-2025,Upi,Food,42,2025-03,156587.32
01-03-2025,Upi,Food,1040,2025-03,144949.32
01-03-2025,Upi,Recharge,220,2025-03,144949.32
28-02-2025,Upi,Food,106,2025-02,143689.32
27-02-2025,Upi,Food,150,2025-02,143583.32
26-02-2025,Upi,Food,36,2025-02,143433.32
25-02-2025,Upi,Transport,400,2025-02,143397.32
25-02-2025,Upi,Food,30,2025-02,143397.32
25-02-2025,Upi,Food,100,2025-02,143397.32
24-02-2025,Upi,Food,65,2025-02,142867.32
24-02-2025,Upi,Food,46,2025-02,142867.32
24-02-2025,Upi,Gift,422,2025-02,142867.32
23-02-2025,Upi,Social Life,150,2025-02,142334.32
22-02-2025,Upi,Transport,300,2025-02,142184.32
22-02-2025,Upi,Recharge,299,2025-02,142184.32
22-02-2025,Upi,Transport,3511,2025-02,142184.32
20-02-2025,Upi,Food,15,2025-02,138074.32
20-02-2025,Upi,Food,148,2025-02,138074.32
19-02-2025,Upi,Food,43,2025-02,137911.32
19-02-2025,Upi,Apparel,236,2025-02,137911.32
19-02-2025,Upi,Food,50,2025-02,137911.32
18-02-2025,Upi,Food,66,2025-02,137582.32
18-02-2025,Upi,Food,127,2025-02,137582.32
17-02-2025,Upi,Food,16,2025-02,137389.32
17-02-2025,Upi,Food,20,2025-02,137389.32
17-02-2025,Upi,Recharge,471,2025-02,137389.32
17-02-2025,Upi,Transport,200,2025-02,137389.32
16-02-2025,Upi,Recharge,249,2025-02,136682.32
16-02-2025,Upi,Food,60,2025-02,136682.32
15-02-2025,Upi,Food,100,2025-02,136373.32
15-02-2025,Upi,Transport,200,2025-02,136373.32
14-02-2025,Upi,Food,688,2025-02,136073.32
14-02-2025,Upi,Food,50,2025-02,136073.32
14-02-2025,Upi,Household,156,2025-02,136073.32
13-02-2025,Upi,Food,21,2025-02,135179.32
13-02-2025,Upi,Food,70,2025-02,135179.32
12-02-2025,Upi,Food,26,2025-02,135088.32
11-02-2025,Upi,Food,34,2025-02,135062.32
10-02-2025,Upi,Food,140,2025-02,135028.32
10-02-2025,Upi,Food,71,2025-02,135028.32
10-02-2025,Upi,Transport,300,2025-02,135028.32
09-02-2025,Upi,Food,125,2025-02,134517.32
09-02-2025,Upi,Transport,160,2025-02,134517.32
09-02-2025,Upi,Recharge,220,2025-02,134517.32
07-02-2025,Upi,Food,52,2025-02,134012.32
07-02-2025,Upi,Transport,200,2025-02,134012.32
06-02-2025,Upi,Food,56,2025-02,133760.32
06-02-2025,Upi,Food,55,2025-02,133760.32
